Usuario|nota
6424889|0.7457627119
6419893|0.9322033898
6431460|0.813559322
6475726|0.2881355932
273118|0.9491525424
6424855|0.6949152542
6699143|0.8813559322
9317|0.8644067797
4023164|0.8813559322
6573331|0.5762711864
4164220|0.5084745763
2777927|0.9152542373
6335206|0.813559322
6565630|0.6271186441
3727949|0.7796610169
3244529|1.0
6612382|0.8644067797
4690122|0.35593220340000004
249891|0.9661016949
94246|0.9661016949
6606208|1.0
2928410|0.8474576270999999
406478|0.6779661017
2330086|0.8983050847
3722664|0.8305084745999999
6524823|0.8983050847
2779036|0.7627118643999999
4352690|0.8305084745999999
6523132|0.8644067797
6316147|0.9491525424
6722794|0.32203389829999995
5808272|0.6949152542
6133501|0.8983050847
5668608|0.8813559322
5808275|0.6949152542
6573750|0.7457627119
6326685|0.8644067797
6560909|0.9322033898
6334590|0.8305084745999999
496919|0.8983050847
6658291|0.6610169492
6580311|0.8305084745999999
6342026|0.8474576270999999
6561676|0.9152542373
6581322|0.8305084745999999
6404017|0.8305084745999999
19503|0.8644067797
2096065|0.9491525424
6512380|0.9491525424
5751747|1.0
6661388|0.7457627119
6143031|0.7796610169
6602983|0.9661016949
3691664|0.9152542373
6631932|0.813559322
2372259|0.6101694915
6260157|0.7966101695000001
6231234|0.7966101695000001
4270037|0.9152542373
4817603|0.8983050847
4270086|0.9491525424
6131867|0.7796610169
6565054|0.7457627119
6400796|0.8474576270999999
6524068|0.6610169492
6500490|0.6610169492
6362308|0.9661016949
2096045|0.9661016949
6559210|0.7796610169
6515832|0.6949152542
6326035|0.9152542373
6683046|0.9830508475
6403380|0.8644067797
3319864|0.7627118643999999
6208552|0.8474576270999999
648824|0.7288135593
5651659|0.5423728814
5987999|0.9491525424
511684|0.7457627119
695330|0.9661016949
6562440|0.8983050847
6499591|0.8644067797
6549340|0.9491525424
6616865|0.9830508475
6520426|0.7627118643999999
6520427|0.7457627119
134510|0.3050847458
6760278|0.5593220339
4403651|0.8813559322
6539448|0.9152542373
5013055|0.9322033898
6551980|0.4237288136
5817749|0.7796610169
6321180|0.6779661017
6493890|0.8305084745999999
6478850|0.8305084745999999
253007|0.7288135593
6174086|0.6101694915
6409477|0.6271186441
4028900|0.7457627119
2537995|0.9491525424
6310904|0.9152542373
6609764|0.5932203389999999
2573298|0.813559322
6644625|0.7288135593
6764210|0.0338983051
480965|0.9491525424
5423577|0.9322033898
493170|0.8305084745999999
6268191|0.6610169492
6618413|0.9830508475
6408619|0.4745762712
6535369|0.3389830508
6444016|0.7118644068000001
6595158|0.8474576270999999
3696911|0.8813559322
6565536|0.9491525424
6300700|0.1525423729
3743667|0.8813559322
6465099|0.6440677965999999
6554467|0.9661016949
6476716|0.4406779661
6835810|0.3389830508
1814730|0.8474576270999999
6525540|0.8644067797
4970681|0.813559322
6671067|0.9830508475
6571900|0.7288135593
6443748|0.7457627119
6137797|0.8474576270999999
5816514|0.9152542373
6337837|0.8305084745999999
6403110|0.813559322
6648825|0.9830508475
6671722|0.9661016949
6603336|0.9830508475
6607495|0.8813559322
679164|0.6610169492
6721842|0.9491525424
